#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
She Done Him Wrong;6.5;66;Comedy|Drama|History|Musical|Romance;Lowell Sherman;Mae West;Gilbert Roland;Louise Beavers;captain|marriage proposal|saloon|saloon singer|singer
She Wore a Yellow Ribbon;7.4;103;Western;John Ford;Harry Carey Jr.;Ben Johnson;Victor McLaglen;captain|cavalry|fort|retirement|yellow ribbon
Sheena;4.8;117;Adventure|Fantasy;John Guillermin;Tanya Roberts;Donovan Scott;Ted Wass;chimpanzee|elephant|jungle|mercenary|shaman
Sherlock Holmes;7.6;128;Action|Adventure|Crime|Mystery|Thriller;Guy Ritchie;Robert Downey Jr.;Eddie Marsan;Robert Maillet;black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes
Sherlock Holmes: A Game of Shadows;7.5;129;Action|Adventure|Crime|Mystery|Thriller;Guy Ritchie;Robert Downey Jr.;Eddie Marsan;Paul Anderson;factory|gypsy|investigation|sherlock holmes|train
Sherrybaby;6.6;96;Drama;Laurie Collyer;Brad William Henke;Kate Burton;Michelle Hurst;ex convict|halfway house|nipples visible through clothing|orgasm|parole officer
She's All That;5.8;95;Comedy|Romance;Robert Iscove;Paul Walker;Clea DuVall;Kieran Culkin;bet|friend|high school|prom|prom queen
She's Gotta Have It;6.5;88;Comedy|Romance;Spike Lee;S. Epatha Merkerson;Joie Lee;Tracy Camilla Johns;female nudity|male model|nudity|rite of passage|sex
She's Out of My League;6.4;104;Comedy|Romance;Jim Field Smith;Mike Vogel;Kim Shaw;Geoff Stults;airport|airport security|confidence|iphone|love
She's the Man;6.4;105;Comedy|Romance;Andy Fickman;Channing Tatum;Alexandra Breckenridge;Laura Ramsey;disguise|roommate|school|soccer|twin
She's the One;6.1;96;Comedy|Drama|Romance;Edward Burns;John Mahoney;Frank Vincent;Michael McGlone;claim in title|infidelity|irish american|love|sex
Shine;7.7;105;Biography|Drama|Music|Romance;Scott Hicks;Noah Taylor;Armin Mueller-Stahl;Nicholas Bell;abuse|australia|concert|pianist|piano
Shine a Light;7.2;122;Biography|Documentary|Music;Martin Scorsese;Mick Jagger;Keith Richards;Albert Maysles;band|concert footage|new york city|rolling stones|three word title
Shinjuku Incident;7.1;119;Action|Crime|Drama|Thriller;Tung-Shing Yee;Bingbing Fan;Daniel Wu;Yasuaki Kurata;chinese|gang|gratitude|immigrant|japan
Shipwrecked;6.7;92;Adventure|Family;Nils Gaup;Bjørn Sundquist;Louisa Milwood-Haigh;Stian Smestad;boy|island|pirate|ship|treasure
Sholem Aleichem: Laughing in the Darkness;6.8;93;Documentary;Joseph Dorman;Rachel Dratch;Peter Riegert;Jason Kravits;jewish identity
Shooter;7.2;124;Action|Crime|Drama|Mystery|Thriller;Antoine Fuqua;Tate Donovan;Ned Beatty;Louis Ferreira;colonel|ethiopia|marksman|on the run|rangefinder
Shooting Fish;6.6;99;Comedy|Crime|Romance;Stefan Schwartz;Peter McNamara;Dan Futterman;Ralph Ineson;con artist|money|orphan|scam|secretary
Shooting the Warwicks;6.2;95;Comedy|Drama;Adam Rifkin;Marri Savinar;Adam Rifkin;Bethany Blakey;family relationships|husband wife relationship|nudity|reality|reality spoof
Shopgirl;6.4;106;Drama|Romance;Anand Tucker;Frances Conroy;Bridgette Wilson-Sampras;Clyde Kusatsu;artist|depression|gloves|photography|slacker
Short Cut to Nirvana: Kumbh Mela;7.2;85;Documentary;Maurizio Benazzo;The Dalai Lama;Jasper Johal;Swami Krishnanad;
Shortbus;6.5;101;Comedy|Drama|Romance;John Cameron Mitchell;Sook-Yin Lee;Peter Stickles;Raphael Barker;controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex
Shorts;4.9;89;Comedy|Family|Fantasy;Robert Rodriguez;Jimmy Bennett;Leo Howard;Jake Short;boy|family relationships|rock|twin|two headed person
Shotgun Stories;7.3;92;Drama|Thriller;Jeff Nichols;Michael Abbott Jr.;Natalie Canerday;Travis Smith;bare chested male|half brother|indifference|shotgun|violence
Should've Been Romeo;6.7;;Comedy|Drama;Marc Bennett;Michael Rapaport;Natasha Henstridge;Costas Mandylor;
Show Boat;7;108;Drama|Family|Musical|Romance;George Sidney;Agnes Moorehead;Ava Gardner;Howard Keel;gambling|interracial marriage|love|miscegenation|showboat
Show Me;6;97;Drama|Thriller;Cassandra Nicolaou;Katharine Isabelle;Michelle Nolden;Gabriel Hogan;bathtub|implied incest|lesbian|squeegee|tied to a chair
Showdown in Little Tokyo;6;79;Action|Comedy|Crime|Thriller;Mark L. Lester;Cary-Hiroyuki Tagawa;Tia Carrere;Vernee Watson;bare chested male|detective|electric torture|japanese american|yakuza
Showgirls;4.6;131;Drama;Paul Verhoeven;Bobbie Phillips;Elizabeth Berkley;Robert Davi;cult film|lap dance|lap dancing|stripper|striptease
Shrek;7.9;90;Adventure|Animation|Comedy|Family|Fantasy;Andrew Adamson;Kathleen Freeman;Chris Miller;Bobby Block;donkey|fairy tale|ogre|princess|swamp
Shrek 2;7.2;93;Adventure|Animation|Comedy|Family|Fantasy|Romance;Andrew Adamson;Rupert Everett;Jennifer Saunders;Conrad Vernon;drag queen|physical appearance|princess|queen|sequel
Shrek Forever After;6.4;93;Adventure|Animation|Comedy|Family|Fantasy;Mike Mitchell;Jon Hamm;Kathy Griffin;Mary Kay Place;alternate world|fairy tale parody|female warrior|ogre|true love
Shrek the Third;6.1;93;Adventure|Animation|Comedy|Family|Fantasy;Chris Miller;Justin Timberlake;Eric Idle;Rupert Everett;disney spoof|fairy tale|prince|princess|tough guy
Shutter;5.2;90;Horror|Mystery|Thriller;Masayuki Ochiai;James Kyson;David Denman;Daisy Betts;car accident|japan|newlywed|photograph|photographer
Shutter Island;8.1;138;Mystery|Thriller;Martin Scorsese;Leonardo DiCaprio;Joseph Sikora;Nellie Sciutto;female prisoner|plot twist|self delusion|surprise ending|year 1954
Sicario;7.6;121;Action|Crime|Drama|Mystery|Thriller;Denis Villeneuve;Edgar Arreola;Bernardo Saracino;Daniel Kaluuya;critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs
Sicko;8;123;Documentary|Drama;Michael Moore;Michael Moore;Tucker Albrizzi;Bill Clinton;canada|cuba|france|guantanamo|hmo
Side Effects;7.1;106;Crime|Drama|Thriller;Steven Soderbergh;Channing Tatum;David Costabile;Katie Lowes;clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect
Side Effects;7.1;106;Crime|Drama|Thriller;Steven Soderbergh;Channing Tatum;David Costabile;Katie Lowes;clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect
Sideways;7.5;126;Adventure|Comedy|Drama|Romance;Alexander Payne;Virginia Madsen;Patrick Gallagher;M.C. Gainey;actor|california|teacher|wine|writer
Signed Sealed Delivered;7.7;87;Comedy|Drama;Scott Smith;Eric Mabius;Daphne Zuniga;Crystal Lowe;fraud|postal worker|prison|theft|trial
Signs;6.7;106;Drama|Sci-Fi|Thriller;M. Night Shyamalan;Rory Culkin;Merritt Wever;Cherry Jones;crop circle|faith|farm|glass of water|loss of faith
Silent Hill;6.6;132;Adventure|Horror|Mystery;Christophe Gans;Radha Mitchell;Deborah Kara Unger;Alice Krige;gothic|police|police officer|silent hill|sleepwalking
Silent Hill: Revelation 3D;5;95;Adventure|Drama|Horror|Mystery|Thriller;Michael J. Bassett;Radha Mitchell;Deborah Kara Unger;Martin Donovan;18th birthday|alternate reality|introduction|nightmare|on the run
Silent House;5.3;86;Drama|Horror|Mystery|Thriller;Chris Kentis;Eric Sheffer Stevens;Julia Taylor Ross;Adam Trese;bound and gagged|girl|haunted house|hearing noises|uninterrupted shot
Silent Movie;6.7;87;Comedy|Romance;Mel Brooks;Sid Caesar;Dom DeLuise;Bernadette Peters;black comedy|friend|modern silent movie|silent movie|two word title
Silent Running;6.7;89;Drama|Sci-Fi;Douglas Trumbull;Bruce Dern;Ron Rifkin;Jesse Vint;forest|greenhouse|plant|robot|space
Silent Trigger;5.6;88;Action|Drama|Thriller;Russell Mulcahy;Christopher Heyerdahl;Gina Bellman;Conrad Dunn;assassin|die hard scenario|rangefinder|soldier|veteran
Silmido;7.2;135;Action|Drama;Woo-Suk Kang;Yu-mi Jeong;Sung-kee Ahn;Kyung-gu Sol;based on book|based on true story|rape|title spoken by character
Silver Linings Playbook;7.8;122;Comedy|Drama|Romance;David O. Russell;Jennifer Lawrence;Robert De Niro;Bradley Cooper;adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow
Silver Medallist;7.4;99;Action|Adventure|Comedy;Hao Ning;Jack Kao;Bo Huang;Zheng Xu;color in title
Silverado;7.2;133;Action|Crime|Drama|Western;Lawrence Kasdan;Scott Glenn;Todd Allen;Brad Leland;1880s|kiss|small town|table broken in fight|wild west
Simon Birch;6.9;114;Comedy|Drama|Family;Mark Steven Johnson;Oliver Platt;Jan Hooks;Dana Ivey;boy|christmas|christmas pageant|friendship|illegitimate son
Simply Irresistible;5.3;96;Comedy|Drama|Fantasy|Romance;Mark Tarlov;Sarah Michelle Gellar;Dylan Baker;Lawrence Gilliard Jr.;chef|female chef|love|magic|restaurant
Sin City;8.1;147;Crime|Thriller;Frank Miller;Rosario Dawson;Powers Boothe;Jason Douglas;anthology|corruption|hearing characters thoughts|neo noir|night
Sin City: A Dame to Kill For;6.5;102;Action|Crime|Thriller;Frank Miller;Joseph Gordon-Levitt;Bruce Willis;Eva Green;box office flop|female frontal nudity|female rear nudity|jackpot|rescue
Sinbad: Legend of the Seven Seas;6.7;85;Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance;Patrick Gilmore;Brad Pitt;Adriano Giannini;Timothy West;book|framed|goddess|prince|sinbad
Singin' in the Rain;8.3;103;Comedy|Musical|Romance;Stanley Donen;Rita Moreno;Debbie Reynolds;Cyd Charisse;actress|chorus girl|fan|friend|love
Sinister;6.8;110;Horror|Mystery;Scott Derrickson;Danielle Kotch;Victoria Leigh;James Ransone;book|found footage|research|snuff film|writer
Sinister 2;5.2;97;Horror|Mystery|Thriller;Ciarán Foy;Laila Haley;James Ransone;Jaden Klein;deputy|farmhouse|nightmare|private investigator|rural
Sisters in Law;7.5;104;Documentary;Florence Ayisi;Vera Ngassa;Beatrice Ntuba;;
Six Days Seven Nights;5.7;98;Action|Adventure|Comedy|Romance;Ivan Reitman;Harrison Ford;Anne Heche;Amy Sedaris;airplane|island|pilot|storm|thunderstorm
Six-String Samurai;6.7;91;Action|Adventure|Comedy|Drama|Music|Sci-Fi;Lance Mungia;Jeffrey Falcon;Stephane Gauger;Kim De Angelo;boy|guitar|orphan|rock 'n' roll|sword
Skin Trade;5.7;96;Action|Crime|Thriller;Ekachai Uekrongtham;Michael Jai White;Mike Dopud;Celina Jade;bangkok thailand|detective|human trafficking|revenge|sex slavery
Sky Captain and the World of Tomorrow;6.1;106;Action|Adventure|Mystery|Sci-Fi|Thriller;Kerry Conran;Angelina Jolie Pitt;Laurence Olivier;Bai Ling;captain|pilot|reporter|robot|scientist
Sky High;6.2;100;Adventure|Comedy|Family|Sci-Fi;Mike Mitchell;Michael Angarano;Kelly Preston;Nicholas Braun;coming of age|friend|high school|sidekick|superpower
Skyfall;7.8;143;Action|Adventure|Thriller;Sam Mendes;Albert Finney;Helen McCrory;Rory Kinnear;brawl|childhood home|computer cracker|intelligence agency|terrorist cell
Skyfall;7.8;143;Action|Adventure|Thriller;Sam Mendes;Albert Finney;Helen McCrory;Rory Kinnear;brawl|childhood home|computer cracker|intelligence agency|terrorist cell
Skyline;4.4;97;Action|Sci-Fi|Thriller;Colin Strause;David Zayas;Donald Faison;Brittany Daniel;apartment|blue light|drawing|group of friends|light
Slacker;7.1;100;Comedy|Drama;Richard Linklater;Tommy Pallotta;Richard Linklater;Jean Caffeine;austin texas|moon|pap smear|texas|twenty something
Slacker Uprising;5.3;102;Documentary;Michael Moore;Michael Moore;Eddie Vedder;Steve Earle;character name in title|election campaign|presidential election
Slackers;5.3;86;Comedy|Romance;Dewey Nicks;Jaime King;Gedde Watanabe;Jim Rash;blackmail|fall|love|nerd|scam
Slam;7.2;100;Drama;Marc Levin;Sonja Sohn;Saul Williams;Bonz Malone;gang|independent film|prison|racial slur|urban setting
Sleep Dealer;5.9;90;Drama|Romance|Sci-Fi|Thriller;Alex Rivera;Leonor Varela;Jacob Vargas;Tenoch Huerta;computer|future|mexican immigrant|network|wilhelm scream
Sleep Tight;7.2;102;Drama|Horror|Thriller;Jaume Balagueró;Luis Tosar;Tony Corvillo;Marta Etura;apartment|concierge|girl|hitchcockian|stalking
Sleeper;7.3;89;Comedy|Sci-Fi;Woody Allen;Woody Allen;John Beck;Mews Small;frozen|future|health food|leader|police
Sleepers;7.5;147;Crime|Drama|Thriller;Barry Levinson;Robert De Niro;Brad Pitt;Minnie Driver;boy|guard|kicked in the crotch|prank|sexual abuse
Sleepover;5.3;89;Comedy|Romance;Joe Nussbaum;Steve Carell;Alexa PenaVega;Hunter Parrish;best friend|party|rival|scavenger hunt|sleepover
Sleepy Hollow;7.5;45;Adventure|Drama|Fantasy|Mystery|Thriller;;Nicole Beharie;Katia Winter;Lyndie Greenwood;apocalypse|death|husband wife relationship|mother son relationship|murder
Sliding Doors;6.8;99;Comedy|Drama|Fantasy|Romance;Peter Howitt;Jeanne Tripplehorn;Kevin McNally;John Lynch;alternative reality|multiple outcomes|parallel time|serendipity|twist of fate
Sling Blade;8;148;Drama;Billy Bob Thornton;Robert Duvall;Dwight Yoakam;J.T. Walsh;friend|mental institution|murder|repair shop|small town
Slither;6.5;95;Comedy|Horror|Sci-Fi;James Gunn;Dustin Milligan;Gregg Henry;Tania Saulnier;alien|b movie|sex|slug|small town
Slow Burn;5.9;93;Drama|Mystery|Thriller;Wayne Beach;Mekhi Phifer;LL Cool J;Fisher Stevens;district attorney|interview|murder|prosecutor|reporter
Slow West;6.9;84;Western;John Maclean;Michael Fassbender;Kodi Smit-McPhee;Ben Mendelsohn;american west|bounty hunter|frontier|horse riding|outlaw
Slumdog Millionaire;8;120;Drama|Romance;Danny Boyle;Anil Kapoor;Saurabh Shukla;Ayush Mahesh Khedekar;cheating|falling from height|murder|non professional cast|slum
Slums of Beverly Hills;6.6;91;Comedy|Drama;Tamara Jenkins;Natasha Lyonne;Kevin Corrigan;Jessica Walter;flatulence|menstrual blood|nomad|nursing school|title directed by female
Small Apartments;6.1;96;Comedy|Crime|Drama;Jonas Åkerlund;Noel Gugliemi;Saffron Burrows;Matt Lucas;fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine
Small Soldiers;6.1;108;Action|Adventure|Comedy|Family|Sci-Fi;Joe Dante;Kirsten Dunst;Denis Leary;Robert Picardo;action figure|battle|computer|military|toy
Small Time Crooks;6.7;94;Comedy|Crime;Woody Allen;Woody Allen;Jon Lovitz;Michael Rapaport;apartment building|crook|new york city|three word title|written and directed by cast member
Smiling Fish & Goat on Fire;7.6;90;Comedy|Romance;Kevin Jordan;Derick Martini;Christa Miller;Ion Overman;accountant|actor|animal in title|mail carrier|single parent
Smilla's Sense of Snow;6.4;121;Action|Drama|Sci-Fi|Thriller;Bille August;Jim Broadbent;Tom Wilkinson;Julia Ormond;boy|greenland|neighbor|roof|snow
Smoke Signals;7.2;89;Comedy|Drama;Chris Eyre;Michael Greyeyes;Irene Bedard;Gary Farmer;family abandonment|fire|loss of father|native american protagonist|native american reservation
Smokin' Aces;6.7;109;Action|Crime|Drama|Thriller;Joe Carnahan;Ryan Reynolds;Common;Alex Rocco;casino|fbi|mafia|mob hit|sniper
Snake Eyes;5.9;98;Crime|Mystery|Thriller;Brian De Palma;Nicolas Cage;Mike Starr;John Heard;assassination|boxing|casino|conspiracy|long take
Snakes on a Plane;5.6;105;Action|Adventure|Crime|Drama|Thriller;David R. Ellis;Lin Shaye;Kenan Thompson;Rachel Blanchard;baby rattle|famous line|murder|passenger|snake
Snakes on a Plane;5.6;105;Action|Adventure|Crime|Drama|Thriller;David R. Ellis;Lin Shaye;Kenan Thompson;Rachel Blanchard;baby rattle|famous line|murder|passenger|snake
Snatch;8.3;104;Comedy|Crime;Guy Ritchie;Jason Statham;Brad Pitt;Jason Flemyng;boxer|boxing|diamond|fight|gypsy
Snatch;8.3;104;Comedy|Crime;Guy Ritchie;Jason Statham;Brad Pitt;Jason Flemyng;boxer|boxing|diamond|fight|gypsy
Snitch;6.5;112;Action|Drama|Thriller;Ric Roman Waugh;Dwayne Johnson;Harold Perrineau;Nadine Velazquez;cigarette smoking|dea|drugs|inspired by true events|undercover
Snitch;6.5;112;Action|Drama|Thriller;Ric Roman Waugh;Dwayne Johnson;Harold Perrineau;Nadine Velazquez;cigarette smoking|dea|drugs|inspired by true events|undercover
Snow Angels;6.9;107;Drama|Romance;David Gordon Green;Michael Angarano;Connor Paolo;Tom Noonan;flashback|football game|school|small town|snow
Snow Day;4.9;89;Adventure|Comedy|Family;Chris Koch;Chris Elliott;Mark Webber;Jean Smart;meteorologist|snow|snowed in|snowplow|weather
Snow Dogs;5.1;99;Adventure|Comedy|Family|Sport;Brian Levant;James Coburn;Nichelle Nichols;M. Emmet Walsh;dentist|dog|inheritance|race|sled dog
Snow Falling on Cedars;6.8;127;Drama|Mystery|Romance|Thriller;Scott Hicks;Rick Yune;Reeve Carney;Daniel von Bargen;fisherman|japanese|love|trial|washington state
Snow Flower and the Secret Fan;6.1;104;Drama|History;Wayne Wang;Bingbing Li;Russell Wong;Ji-hyun Jun;car hitting pedestrian|china|fan|nineteenth century|reversal of fortune
Snow Queen;5.3;80;Adventure|Animation|Family;Vladlen Barbe;Erin Fitzgerald;Wendee Lee;Ivan Okhlobystin;3d
Snow White and the Huntsman;6.1;132;Action|Adventure|Drama|Fantasy;Rupert Sanders;Chris Hemsworth;Kristen Stewart;Sam Claflin;evil queen|fairy tale|magic|queen|snow white
Snow White and the Seven Dwarfs;7.7;83;Animation|Family|Fantasy|Musical;William Cottrell;Adriana Caselotti;Billy Gilbert;Lucille La Verne;dwarf|love|princess|queen|snow white
Snow White: A Deadly Summer;2.2;83;Horror;David DeCoteau;Maureen McCormick;Shanley Caswell;Tim Abell;reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole
Snow White: A Tale of Terror;6.3;100;Fantasy|Horror;Michael Cohn;David Conrad;Chris Bauer;Monica Keena;apple|miner|mirror|necromancy|woods
Snowpiercer;7;126;Action|Drama|Sci-Fi|Thriller;Joon-ho Bong;Chris Evans;Ewen Bremner;Kang-ho Song;closed ecological system|perpetual winter|population control|revolt|train
Solaris;8.1;115;Drama|Mystery|Sci-Fi;Andrei Tarkovsky;Donatas Banionis;Anatoliy Solonitsyn;Natalya Bondarchuk;hallucination|ocean|psychologist|scientist|space station
Soldier;6;99;Action|Drama|Sci-Fi;Paul W.S. Anderson;Connie Nielsen;Sean Pertwee;Jason Scott Lee;crash survivor|planet|sergeant|soldier|survivor
Solitary Man;6.4;90;Comedy|Drama|Romance;Brian Koppelman;Jenna Fischer;David Costabile;Richard Schiff;aging|hdtv|high definition television|love|marriage
Solitude;6.8;89;Comedy|Horror|Mystery|Thriller;Livingston Oden;Susan Chambers;Victoria Lachelle;Ali Daniels;
Solomon and Sheba;6.2;141;Drama|History|Romance|War;King Vidor;Gina Lollobrigida;George Sanders;Finlay Currie;king|pharaoh|queen|queen of sheba|tribe
Some Guy Who Kills People;6.4;97;Comedy|Crime|Drama|Horror|Mystery|Thriller;Jack Perez;Kevin Corrigan;Barry Bostwick;Ahmed Best;
Some Like It Hot;8.3;120;Comedy|Music|Romance;Billy Wilder;Nehemiah Persoff;Joe E. Brown;George Raft;all girl band|band|cross dressing|musician|yacht
Someone Like You...;6.1;97;Comedy|Romance;Tony Goldwyn;Hugh Jackman;Ellen Barkin;Catherine Dent;apartment|girl in panties|roommate|thong panties|upskirt
Something Borrowed;5.9;112;Comedy|Drama|Romance;Luke Greenfield;Ashley Williams;Steve Howey;Kirsten Day;best friend|crush|law school|lawyer|loud sex
Something Wicked;4.8;95;Drama|Horror|Mystery|Thriller;Darin Scott;Julian Morris;Shantel VanSanten;John Robinson;eugene oregon|independent film|obsession
Something's Gotta Give;6.7;128;Comedy|Drama|Romance;Nancy Meyers;Keanu Reeves;Jon Favreau;Paul Michael Glaser;beach|dating|doctor|heart attack|weekend
Somewhere;6.3;97;Comedy|Drama;Sofia Coppola;Nathalie Fay;Chris Pontius;Erin Wasson;actor|boredom|luxury hotel|party|trip
Somewhere in Time;7.3;103;Drama|Fantasy|Romance;Jeannot Szwarc;Teresa Wright;Bill Erwin;George Voskovec;hotel|love|love across time|time travel|time travel romance
Son of God;5.6;170;Biography|Drama|History;Christopher Spencer;Roma Downey;Amber Rose Revah;Darwin Shaw;bare chested male bondage|crucifixion|loincloth|reference to god|resurrection
Son of the Mask;2.2;94;Comedy|Family|Fantasy;Lawrence Guterman;Jamie Kennedy;Traylor Howard;Ben Stein;baby|cartoon on tv|cartoonist|dog|mask
Song One;5.8;86;Drama|Music;Kate Barker-Froyland;Anne Hathaway;Shawn Parsons;Li Jun Li;musician|number in title|recording|sibling
Songcatcher;7.3;109;Drama|Music;Maggie Greenwald;Aidan Quinn;David Patrick Kelly;Jane Adams;doctor|mountain|musician|song|university
Sonny with a Chance;6.1;23;Comedy|Family|Romance;;Doug Brochu;Tiffany Thornton;Brandon Mychal Smith;cafeteria|female protagonist|rival|teenage girl|teenager
